"created","id","name","date_in_series_pattern","status","time","local_date","local_time","updated","utc_offset","waitlist_count","yes_rsvp_count","group","link","description","visibility","pro_is_email_shared","duration","manual_attendance_count","venue","how_to_find_us","rsvp_limit","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.42187E+12","219987802","Kickoff Meetup!","FALSE","past","1.42318E+12","2/5/2015","18:30","1.42715E+12","-18000000","0","38","{\created\"":1419436448000","\""name\"":\""KnoxData - a PyData group\""","\""id\"":18271914","\""join_mode\"":\""open\""","\""lat\"":35.93000030517578","\""lon\"":-84.01000213623047","\""urlname\"":\""knoxdata\""","\""who\"":\""Data enthusiasts\""","\""localized_location\"":\""Knoxville"," TN\""","\""state\"":\""TN\""","\""country\"":\""us\""","\""region\"":\""en_US\""","\""timezone\"":\""US/Eastern\""}""","https://www.meetup.com/knoxdata/events/219987802/","<p>For the inaugural get together, it's a good chance for everyone to meet, mingle, and share, so the agenda is intentionally being kept simple and informal. Familiarity will give future meetings more richness!</p> <p>A big thanks to local startup Cirruspath (cirrusinsight.com) for their generosity in providing space to host the first meeting.</p> <p>The preliminary agenda:</p> <p>??? Snacks and drinks while everyone mingles and settles-in.</p> <p>??? Short intro from the organizers to share vision for group.</p> <p>??? Quick share from attendees about who they are, what they do, etc.</p> <p>??? Discussion of, ???to us, what is data science???? to help set the tone for future meetings.</p> <p>??? All attendee chat about what the group wants to see at future meet-ups, e.g. keynote or lightning talks, free workshops, seminars, business highlights, MOOC study groups, a Kaggle team, wins/losses expose... bring your ideas.</p> <p>??? Hammer out long-term logistics to maximize engagement: venue(s), best days/times for meetings, sponsorships.</p> <p>??? Head to the Casual Pint for some brew.</p> ","public","TRUE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.42627E+12","221131825","Elephant Beekeeper: Intro to using Hive on Hadoop","FALSE","past","1.4268E+12","3/19/2015","18:00","1.42715E+12","-14400000","0","18","{\created\"":1419436448000","\""name\"":\""KnoxData - a PyData group\""","\""id\"":18271914","\""join_mode\"":\""open\""","\""lat\"":35.93000030517578","\""lon\"":-84.01000213623047","\""urlname\"":\""knoxdata\""","\""who\"":\""Data enthusiasts\""","\""localized_location\"":\""Knoxville"," TN\""","\""state\"":\""TN\""","\""country\"":\""us\""","\""region\"":\""en_US\""","\""timezone\"":\""US/Eastern\""}""","https://www.meetup.com/knoxdata/events/221131825/","<p>This will be an introductory session on data warehousing using Apache Hive. We'll first provide a very brief introduction of Apache Hadoop HDFS, YARN, MapReduce and the Hadoop eco system. Then we'll provide a more detailed introduction to Apache Hive together with several hands-on exercises. You are welcome to follow the hand-on exercises. We'll be using the Hortonworks HDP 2.2 sandbox virtual machine for the hands-on exercises. In order to follow the hands on exercises:</p> <p>???  Please download and install the appropriate VM image from: <a href=\http://hortonworks.com/products/hortonworks-sandbox/#install\""><a href=\""http://hortonworks.com/products/hortonworks-sandbox/#install\"" class=\""linkified\"">http://hortonworks.com/products/hortonworks-sandbox/#install</a></a></p> <p>???  Download the data file at: <a href=\""https://github.com/thilg/hcb-v2/blob/master/chapter6/chapter6-bookcrossing-data.tar.gz\""><a href=\""https://github.com/thilg/hcb-v2/blob/master/chapter6/chapter6-bookcrossing-data.tar.gz\"" class=\""linkified\"">https://github.com/thilg/hcb-v2/blob/master/chapter6/chapter6-bookcrossing-data.tar.gz</a></a></p> <p>???  Alternatively"," you can also clone this repo: <a href=\""https://github.com/thilg/hcb-v2\""><a href=\""https://github.com/thilg/hcb-v2\"" class=\""linkified\"">https://github.com/thilg/hcb-v2</a></a> git repository.</p> <p>If you're an utter novice to Hadoop and Hive"," don't worry... still come! You can take a look at these tutorials from Hortonworks that give a comprehensive overview and exercises on what Hadoop is and how it's useful in terms of Hive: </p> <p>??? <a href=\""http://goo.gl/14OAat\"" class=\""linkified\"">http://goo.gl/14OAat</a></p> <p>??? <a href=\""http://goo.gl/7iVtRw\"" class=\""linkified\"">http://goo.gl/7iVtRw</a></p> ""","public","TRUE","3600000","18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.42681E+12","221269406","Local Startup Q&A","FALSE","past","1.42862E+12","4/9/2015","18:00","1.42869E+12","-14400000","0","31","{\created\"":1419436448000","\""name\"":\""KnoxData - a PyData group\""","\""id\"":18271914","\""join_mode\"":\""open\""","\""lat\"":35.93000030517578","\""lon\"":-84.01000213623047","\""urlname\"":\""knoxdata\""","\""who\"":\""Data enthusiasts\""","\""localized_location\"":\""Knoxville"," TN\""","\""state\"":\""TN\""","\""country\"":\""us\""","\""region\"":\""en_US\""","\""timezone\"":\""US/Eastern\""}""","https://www.meetup.com/knoxdata/events/221269406/","<p>We'll have an audience with established and startup data-centric local companies and hear their stories about getting a company off the ground, fundraising, lessons learned, wins/losses, etc.</p> <p><b><i>Bring your questions!</i></b> This is an audience focused event, and while the organizers will have canned questions, we want attendees to have this as a chance to reap knowledge from the presenters. Confirmed presenters are:</p> <p>??? Chris Groer, Director of R&amp;D at <a href=\http://www.linkanalytics.com/\"">KPMG (formerly Link Analytics)</a></p> <p>??? Mik Bertolli"," <a href=\""http://www.scibyl.com/\"">Scibyl</a></p> <p>??? Haley Hubbard"," Analytics Specialist at <a href=\""http://vendorregistry.com/\"">Vendor Registry</a></p> <p>This event is being graciously hosted by the Knoxville Entrepreneur Center"," a business accelerator built to serve as the front door for entrepreneurs in East Tennessee. They will be providing pizza and beer! Thank you"," KEC for hosting us.</p> ""","public","TRUE","5400000","31","{\id\"":23657395","\""name\"":\""Knoxville Entrepreneur Center\""","\""lat\"":35.96517562866211","\""lon\"":-83.91983795166016","\""repinned\"":false","\""address_1\"":\""17 Market Square SW #101\""","\""city\"":\""Knoxville\""","\""country\"":\""us\""","\""localized_country_name\"":\""USA\""","\""zip\"":\""\""","\""state\"":\""TN\""}""","","","","","","","","","","","","","","","","",""
"1.4308E+12","222313603","Machine Learning Workshop","FALSE","past","1.43225E+12","5/21/2015","18:00","1.43226E+12","-14400000","0","29","{\created\"":1419436448000","\""name\"":\""KnoxData - a PyData group\""","\""id\"":18271914","\""join_mode\"":\""open\""","\""lat\"":35.93000030517578","\""lon\"":-84.01000213623047","\""urlname\"":\""knoxdata\""","\""who\"":\""Data enthusiasts\""","\""localized_location\"":\""Knoxville"," TN\""","\""state\"":\""TN\""","\""country\"":\""us\""","\""region\"":\""en_US\""","\""timezone\"":\""US/Eastern\""}""","https://www.meetup.com/knoxdata/events/222313603/","<p>Mik Bertolli from <a href=\http://www.scibyl.com\"">Scibyl</a> will be guiding attendees through a hands-on tutorial in machine learning (mostly Python). Mik will talk about feature extraction and regression"," with some demos in neural networks and evolutionary algorithms. If you'd like to follow along"," bring your laptop -- there's power and wifi. If you'd rather just listen and ask questions"," we encourage that as well! </p> ""","public","TRUE","3600000","28","","Ground floor, first office on the left after you enter building.","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.43328E+12","222968447","Let's Hangout -- social get together","FALSE","past","1.43467E+12","6/18/2015","19:00","1.43835E+12","-14400000","0","13","{\created\"":1419436448000","\""name\"":\""KnoxData - a PyData group\""","\""id\"":18271914","\""join_mode\"":\""open\""","\""lat\"":35.93000030517578","\""lon\"":-84.01000213623047","\""urlname\"":\""knoxdata\""","\""who\"":\""Data enthusiasts\""","\""localized_location\"":\""Knoxville"," TN\""","\""state\"":\""TN\""","\""country\"":\""us\""","\""region\"":\""en_US\""","\""timezone\"":\""US/Eastern\""}""","https://www.meetup.com/knoxdata/events/222968447/","<p>This is just a general social get together for the DSci Meetup. No talks, workshops, or format -- simply come by and hangout to meet other folks in the group. Carolina Ale House has food, drinks, and is a blend of bar/restaurant. We're contacting Carolina Ale House to see if they can get us mostly onto the patio (hopefully with awesome weather) so people can span several tables and the bar area if need be.</p> ","public","TRUE","","13","{\id\"":21606182","\""name\"":\""Carolina Ale House\""","\""lat\"":35.912559509277344","\""lon\"":-84.0829086303711","\""repinned\"":false","\""address_1\"":\""9045 Kingston Pike"," 37923\""","\""city\"":\""Knoxville\""","\""country\"":\""us\""","\""localized_country_name\"":\""USA\""","\""zip\"":\""\""","\""state\"":\""TN\""}""","Look for the guy in a green A's baseball cap -- that's Ken.","","","","","","","","","","","","","","","","","","",""
"1.43761E+12","224107607","Blair Christian from PYA Analytics","FALSE","past","1.4383E+12","7/30/2015","18:30","1.43835E+12","-14400000","0","27","{\created\"":1419436448000","\""name\"":\""KnoxData - a PyData group\""","\""id\"":18271914","\""join_mode\"":\""open\""","\""lat\"":35.93000030517578","\""lon\"":-84.01000213623047","\""urlname\"":\""knoxdata\""","\""who\"":\""Data enthusiasts\""","\""localized_location\"":\""Knoxville"," TN\""","\""state\"":\""TN\""","\""country\"":\""us\""","\""region\"":\""en_US\""","\""timezone\"":\""US/Eastern\""}""","https://www.meetup.com/knoxdata/events/224107607/","<p>Blair Christian from PYA Analytics will be giving a presentation on his work and experience being a data scientist for a local startup. Blair has a PhD in statistics and has taught business analytics courses at UTK. Prior to PYA Analytics, Blair worked for the SAS Institute in Cary, NC. </p> ","public","TRUE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.4406E+12","224899110","Three short presentations from Ken, Alex, and James","FALSE","past","1.44253E+12","9/17/2015","18:30","1.44258E+12","-14400000","0","38","{\created\"":1419436448000","\""name\"":\""KnoxData - a PyData group\""","\""id\"":18271914","\""join_mode\"":\""open\""","\""lat\"":35.93000030517578","\""lon\"":-84.01000213623047","\""urlname\"":\""knoxdata\""","\""who\"":\""Data enthusiasts\""","\""localized_location\"":\""Knoxville"," TN\""","\""state\"":\""TN\""","\""country\"":\""us\""","\""region\"":\""en_US\""","\""timezone\"":\""US/Eastern\""}""","https://www.meetup.com/knoxdata/events/224899110/","<p>For our next Meetup, we will have three short presentations (~15 mins each). <a href=\https://youtu.be/GoB4I7k3JPo\"">Click here for the live stream</a>.</p> <p><b>Ken Cavagnolo from KPMG:<br/></b>Internet of Things (IoT) devices are earning a rep for being Vaporware. I'll start a conversation on shortcomings of IoT devices and ask for input on how those issues could be worked around.</p> <p><b>Alex Pawlowski from ORNL/NTRC:<br/></b>How can active safety reduce vehicle emissions? A focus on data concepts.</p> <p><b>James Horey from Cirruspath:<br/></b>Analyzing sales data for fun &amp; money</p> <p>Don't forget to join us on Slack at <a href=\""http://www.knoxscience.com/\"">knoxscience.com</a>! </p> ""","public","TRUE","","","","We're across Kingston from Fort Sanders West in a 3-story office building.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.44407E+12","225849817","Two presentations from Cristian (Cirruspath) and Matt Sieger (ORNL)","FALSE","past","1.44555E+12","10/22/2015","18:30","1.44787E+12","-14400000","0","33","{\created\"":1419436448000","\""name\"":\""KnoxData - a PyData group\""","\""id\"":18271914","\""join_mode\"":\""open\""","\""lat\"":35.93000030517578","\""lon\"":-84.01000213623047","\""urlname\"":\""knoxdata\""","\""who\"":\""Data enthusiasts\""","\""localized_location\"":\""Knoxville"," TN\""","\""state\"":\""TN\""","\""country\"":\""us\""","\""region\"":\""en_US\""","\""timezone\"":\""US/Eastern\""}""","https://www.meetup.com/knoxdata/events/225849817/","<p>This month we're having presentations from Cristian Capdevila from Cirruspath and Matt Sieger from ORNL. Cristian will talk about modern natural language processing techniques (LDA, word2vec), and Matt will talk about ORNL software for simulating nuclear reactors (www.casl.gov). As always, we'll have time to mingle before and after the presentation. Remember if you haven't joined KnoxScience.com yet, please do so!</p> ","public","TRUE","","33","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.4457E+12","226279816","AWS presentation from Elizabeth & genomics research from Meg Staton (UTK)","FALSE","past","1.4478E+12","11/17/2015","18:30","1.44787E+12","-18000000","0","35","{\created\"":1419436448000","\""name\"":\""KnoxData - a PyData group\""","\""id\"":18271914","\""join_mode\"":\""open\""","\""lat\"":35.93000030517578","\""lon\"":-84.01000213623047","\""urlname\"":\""knoxdata\""","\""who\"":\""Data enthusiasts\""","\""localized_location\"":\""Knoxville"," TN\""","\""state\"":\""TN\""","\""country\"":\""us\""","\""region\"":\""en_US\""","\""timezone\"":\""US/Eastern\""}""","https://www.meetup.com/knoxdata/events/226279816/","<p>For our November meetup, we'll have two exciting speakers. Elizabeth Turpin from Scripps will talk to us about her experience using the Amazon Web Services data pipeline tools, and Prof. Meg Staton will talk about her research in genomics (hardwoodgenomics.org). </p> <p>Please note that we are meeting on Tuesday this time! As usual we'll start socializing around 6:30 with the first presentation starting around 7:00. Also, if you haven't joined our Slack team yet, head over to knoxscience.com and sign up! We'll share announcements &amp; details there. </p> ","public","TRUE","","35","","Across Kingston from Ft. Sanders West.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.44889E+12","227110646","Social month!","FALSE","past","1.44979E+12","12/10/2015","18:30","1.4498E+12","-18000000","0","15","{\created\"":1419436448000","\""name\"":\""KnoxData - a PyData group\""","\""id\"":18271914","\""join_mode\"":\""open\""","\""lat\"":35.93000030517578","\""lon\"":-84.01000213623047","\""urlname\"":\""knoxdata\""","\""who\"":\""Data enthusiasts\""","\""localized_location\"":\""Knoxville"," TN\""","\""state\"":\""TN\""","\""country\"":\""us\""","\""region\"":\""en_US\""","\""timezone\"":\""US/Eastern\""}""","https://www.meetup.com/knoxdata/events/227110646/","<p>December is social month! Join us for beer and casual conversation starting at 6:30. If you haven't attended before, this is a great chance to get to know folks. Also if you haven't joined yet, join us on Slack at KnoxScience.com!</p> <p>James &amp; Ken</p> ","public","TRUE","","","{\id\"":21606182","\""name\"":\""Carolina Ale House\""","\""lat\"":35.912559509277344","\""lon\"":-84.0829086303711","\""repinned\"":false","\""address_1\"":\""9045 Kingston Pike"," 37923\""","\""city\"":\""Knoxville\""","\""country\"":\""us\""","\""localized_country_name\"":\""USA\""","\""zip\"":\""\""","\""state\"":\""TN\""}""","","","","","","","","","","","","","","","","","","","",""
